Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1011EB;30;15;15;-99997;-99997;15;10;5;60;30;20;25;15;-99997;-99997;-99997;1,4;20;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;434;-99997
1011EC;55;25;30;-99997;-99997;20;20;10;60;30;10;40;30;5;5;-99997;1,3;40;25;-99997;-99997;-99997;15;-99997;-99997;-99997;40;-99997;90;35;-99997;-99997;5
1011ED;15;5;10;-99997;-99997;-99997;5;-99997;70;-99997;-99997;10;5;-99997;-99997;-99997;1,4;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;511;-99997
1011EE;20;10;10;-99997;-99997;10;5;-99997;80;-99997;-99997;20;15;-99997;-99997;-99997;1,2;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;302;-99997
1011EG;55;25;30;5;10;20;15;-99997;70;30;-99997;35;20;10;-99997;-99997;1,5;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;30;80;-99997;-99997;377;5
1011EH;45;20;30;-99997;10;25;5;-99997;70;10;10;40;30;5;-99997;-99997;1,2;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;414;-99997
1011EJ;40;25;15;-99997;-99997;15;15;-99997;50;40;20;25;15;10;-99997;-99997;1,5;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;30;70;5;-99997;434;-99997
1011EK;45;25;20;-99997;10;10;10;5;80;20;-99997;25;10;-99997;-99997;5;1,9;20;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;802;-99997
1011EL;40;20;20;-99997;5;10;15;5;70;10;20;25;20;-99997;-99997;-99997;1,6;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;20;80;20;-99997;401;-99997
1011EM;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;796;-99997
