Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1075EC;45;25;20;-99997;15;10;10;-99997;60;40;-99997;25;20;-99997;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;-99997;-99997;1124;-99997
1075ED;35;15;20;10;-99997;10;10;10;50;40;20;15;5;5;-99997;5;2,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;60;40;-99997;-99997;1277;-99997
1075EE;30;15;10;-99997;5;10;10;-99997;60;40;-99997;15;10;5;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;955;-99997
1075EG;25;10;15;-99997;5;10;5;-99997;70;20;-99997;10;5;-99997;-99997;-99997;2,0;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;1261;-99997
1075EH;15;5;5;-99997;-99997;-99997;-99997;-99997;40;60;-99997;5;-99997;-99997;-99997;-99997;1,9;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;958;-99997
1075EJ;40;20;20;10;-99997;15;5;-99997;60;30;-99997;15;5;-99997;-99997;5;2,4;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;70;-99997;-99997;-99997;1315;-99997
1075EK;40;25;15;15;-99997;15;10;-99997;50;40;20;15;5;-99997;-99997;5;2,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;-99997;-99997;-99997;1199;-99997
1075EL;30;15;15;-99997;10;15;-99997;-99997;50;20;40;20;10;5;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;736;-99997
1075EM;15;10;5;-99997;-99997;10;-99997;-99997;90;-99997;-99997;10;-99997;-99997;-99997;-99997;1,8;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;662;-99997
1075EN;20;5;15;-99997;-99997;10;5;-99997;60;30;-99997;15;10;-99997;-99997;-99997;1,4;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;70;-99997;-99997;709;-99997
1075EP;35;20;15;10;-99997;5;5;10;70;30;-99997;15;10;-99997;-99997;5;2,1;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;40;-99997;5;849;-99997
1075ER;55;25;25;10;5;15;10;10;50;20;30;25;10;5;-99997;5;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;40;-99997;-99997;929;-99997
1075ES;45;25;20;10;10;-99997;15;5;60;40;-99997;15;-99997;-99997;-99997;10;2,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;80;-99997;-99997;-99997;1273;-99997
1075ET;50;30;20;5;5;25;10;-99997;30;50;20;20;5;10;-99997;5;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;-99997;-99997;935;-99997
1075EV;65;30;35;15;10;10;20;5;60;40;-99997;25;5;5;-99997;5;2,6;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;-99997;-99997;899;-99997
1075EW;45;20;25;10;-99997;10;20;5;60;20;20;25;10;10;-99997;-99997;1,9;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;90;-99997;-99997;-99997;1048;-99997
1075EX;50;30;25;10;5;10;20;5;60;30;-99997;25;10;5;-99997;5;2,2;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;40;-99997;-99997;786;-99997
1075EZ;40;20;15;10;5;5;15;-99997;30;60;-99997;15;-99997;-99997;-99997;10;2,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;60;40;-99997;-99997;1027;-99997
1075GA;40;20;20;15;-99997;10;10;5;40;50;10;15;-99997;-99997;-99997;5;2,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;-99997;-99997;849;-99997
1075GB;50;20;25;10;10;10;15;-99997;70;30;-99997;20;-99997;-99997;-99997;10;2,5;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;70;30;-99997;-99997;892;-99997
1075GC;55;30;25;15;-99997;15;20;-99997;40;50;20;20;5;5;-99997;10;2,5;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;70;30;-99997;-99997;1050;-99997
1075GD;55;30;20;20;-99997;15;10;5;20;70;-99997;20;5;-99997;-99997;10;3,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;-99997;-99997;1253;-99997
1075GE;50;15;30;15;-99997;5;20;10;70;30;-99997;20;10;5;-99997;5;2,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;-99997;5;1005;-99997
1075GG;45;20;20;10;-99997;10;10;10;50;40;-99997;20;10;-99997;-99997;5;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;60;50;-99997;-99997;983;-99997
1075GH;40;20;25;5;5;10;10;5;60;40;-99997;20;5;5;-99997;5;2,2;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;1014;-99997
1075GJ;65;25;40;15;5;15;15;10;60;40;-99997;30;15;5;-99997;10;2,2;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;50;50;-99997;5;828;-99997
1075GK;65;25;35;10;10;20;20;5;50;40;10;30;10;10;-99997;5;2,1;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;40;60;-99997;-99997;852;-99997
1075GL;60;30;25;15;5;15;15;-99997;30;60;-99997;25;10;5;-99997;10;2,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;-99997;-99997;867;-99997
1075GM;40;20;25;10;10;10;10;-99997;60;20;20;20;10;-99997;5;-99997;2,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;60;40;-99997;-99997;957;-99997
1075GN;55;25;25;15;-99997;25;10;-99997;60;40;-99997;20;5;5;-99997;5;2,4;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;-99997;-99997;704;-99997
1075GP;40;15;25;10;-99997;10;10;5;60;30;10;15;5;-99997;-99997;5;2,4;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;70;30;-99997;-99997;895;-99997
1075GR;15;10;5;-99997;-99997;5;5;-99997;90;-99997;-99997;10;5;-99997;-99997;-99997;1,9;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;782;-99997
1075GS;25;10;15;-99997;-99997;5;10;-99997;40;60;-99997;15;10;-99997;-99997;-99997;1,6;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;50;50;-99997;-99997;940;-99997
1075GT;15;5;10;-99997;-99997;-99997;5;-99997;-99997;70;-99997;5;-99997;-99997;-99997;-99997;1,9;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;991;-99997
1075GV;25;15;10;5;-99997;-99997;10;-99997;50;40;-99997;10;-99997;-99997;-99997;-99997;2,7;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;80;-99997;-99997;-99997;1109;-99997
1075GW;40;15;20;10;-99997;5;15;-99997;40;40;20;15;-99997;-99997;-99997;5;2,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;1390;-99997
1075GX;50;25;25;5;5;15;15;10;40;60;-99997;25;15;5;-99997;5;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;30;-99997;-99997;1470;-99997
1075GZ;40;20;20;10;5;10;15;-99997;50;40;-99997;20;10;-99997;-99997;5;2,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;70;40;-99997;-99997;1155;-99997
1075HA;50;25;30;10;10;10;20;-99997;40;40;20;20;5;-99997;-99997;10;2,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;80;-99997;-99997;-99997;1136;-99997
1075HB;25;15;10;10;-99997;10;5;-99997;60;30;-99997;10;5;-99997;-99997;5;2,3;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;70;-99997;-99997;-99997;1064;-99997
1075HC;35;20;15;10;5;-99997;15;-99997;70;30;-99997;15;5;-99997;-99997;5;2,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;1263;-99997
1075HD;40;20;20;10;5;5;15;-99997;60;30;-99997;15;-99997;-99997;-99997;5;2,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;80;-99997;-99997;-99997;1220;-99997
1075HE;30;15;15;10;-99997;5;10;-99997;70;20;-99997;10;-99997;-99997;-99997;-99997;2,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;5;1111;-99997
1075HG;50;30;20;10;5;10;20;-99997;40;60;-99997;20;10;-99997;-99997;5;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;70;-99997;-99997;-99997;1101;-99997
1075HH;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;1162;-99997
1075HJ;5;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075HK;45;25;20;5;5;5;15;10;70;20;-99997;20;5;5;-99997;5;2,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;1401;-99997
1075HL;40;20;20;5;-99997;10;15;5;60;40;-99997;15;5;-99997;-99997;5;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;40;-99997;-99997;1488;-99997
1075HM;60;30;30;10;-99997;20;15;10;60;30;10;35;20;5;-99997;5;1,8;35;35;-99997;-99997;-99997;-99997;-99997;-99997;-99997;35;80;20;-99997;5;1198;-99997
1075HN;10;-99997;5;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;3355;-99997
1075HP;10;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075HR;20;10;10;5;5;-99997;5;-99997;60;40;-99997;5;-99997;-99997;-99997;-99997;3,2;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;3295;-99997
1075HS;35;20;20;-99997;5;-99997;15;15;70;20;-99997;15;5;5;-99997;-99997;2,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;30;70;-99997;-99997;1853;-99997
1075HT;40;20;20;10;5;10;10;-99997;50;40;-99997;15;5;-99997;-99997;5;2,3;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;30;-99997;-99997;1136;-99997
1075HV;20;10;10;-99997;-99997;-99997;5;10;60;30;-99997;10;-99997;5;-99997;-99997;2,0;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;70;-99997;-99997;-99997;1828;-99997
1075HW;10;5;5;-99997;-99997;-99997;-99997;-99997;60;-99997;-99997;5;-99997;-99997;-99997;-99997;2,4;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997
1075KA;10;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075KH;35;15;20;5;5;5;15;5;60;20;20;20;10;-99997;-99997;-99997;2,1;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;468;-99997
1075KJ;55;25;30;10;20;20;10;-99997;50;40;10;30;20;5;-99997;5;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;-99997;-99997;1390;-99997
1075KK;45;20;25;5;5;10;10;10;70;20;10;20;10;-99997;-99997;5;2,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;5;893;-99997
1075KL;45;20;20;-99997;5;15;10;10;70;20;10;25;15;5;-99997;-99997;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;738;5
1075KM;35;15;20;-99997;-99997;10;15;-99997;70;-99997;30;20;15;-99997;5;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;469;5
1075KN;40;20;20;5;5;10;10;10;40;10;50;20;10;5;-99997;-99997;1,9;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;80;15;-99997;536;5
1075KT;80;40;40;-99997;5;30;20;20;60;20;20;55;40;10;5;-99997;1,4;60;60;-99997;-99997;-99997;-99997;-99997;-99997;-99997;60;-99997;100;-99997;5;385;10
1075KV;20;15;10;-99997;-99997;5;10;-99997;40;20;40;15;10;-99997;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;323;-99997
1075KW;25;10;10;-99997;-99997;5;10;-99997;60;-99997;30;20;15;-99997;-99997;-99997;1,2;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;315;5
1075KX;20;10;10;-99997;-99997;5;10;-99997;40;-99997;60;15;10;-99997;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;366;5
1075KZ;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075LA;40;20;15;5;-99997;20;5;-99997;60;20;10;20;10;-99997;-99997;5;2,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;30;70;5;-99997;565;5
1075LB;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;5;-99997;-99997;-99997;1,0;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;439;-99997
1075LC;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075LD;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075LE;35;20;20;-99997;-99997;15;15;-99997;40;10;50;20;10;-99997;-99997;-99997;1,8;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;410;5
1075LG;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1075LH;35;15;20;-99997;-99997;15;10;5;60;20;30;25;15;5;-99997;-99997;1,4;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;-99997;376;5
1075LJ;45;25;20;5;5;20;5;5;40;20;40;25;15;5;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;80;15;-99997;392;5
1075LK;15;5;10;-99997;-99997;-99997;5;-99997;50;-99997;30;10;5;-99997;-99997;-99997;1,8;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;456;-99997
1075LL;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;1,2;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;324;-99997
1075LM;30;15;15;-99997;-99997;10;10;10;60;-99997;30;25;20;-99997;-99997;-99997;1,3;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;354;5
1075LN;35;15;20;5;-99997;10;10;10;50;20;30;20;15;-99997;-99997;-99997;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;441;5
1075LP;40;10;30;5;-99997;15;10;10;50;20;30;25;15;-99997;-99997;-99997;1,7;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;30;80;15;-99997;424;5
1075LR;20;10;10;-99997;-99997;5;-99997;-99997;30;30;40;10;5;-99997;-99997;-99997;1,8;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;450;-99997
1075LS;40;15;20;-99997;5;15;10;10;60;20;20;25;15;10;-99997;-99997;1,4;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;5;375;-99997
1075LT;40;20;15;5;-99997;15;5;5;40;30;30;25;15;-99997;-99997;-99997;1,7;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;486;-99997
1075LV;20;10;10;-99997;-99997;5;10;5;90;-99997;-99997;15;5;5;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;437;-99997
1075LW;30;15;15;-99997;-99997;10;5;5;80;-99997;20;20;10;-99997;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;462;-99997
1075LX;50;30;20;5;5;15;10;10;50;20;30;25;15;5;-99997;-99997;1,8;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;30;80;15;-99997;452;-99997
1075LZ;20;10;10;-99997;-99997;5;5;-99997;70;-99997;-99997;15;15;-99997;-99997;-99997;1,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;362;5
1075NB;35;20;15;-99997;10;15;10;-99997;40;30;30;20;10;5;-99997;-99997;1,8;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;-99997;-99997;781;-99997
1075NC;30;20;10;5;-99997;15;5;-99997;60;40;-99997;15;5;-99997;-99997;5;2,0;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;596;-99997
1075ND;30;15;15;-99997;-99997;5;5;15;60;-99997;30;15;10;5;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997
1075NE;45;20;25;10;-99997;15;5;10;40;10;50;25;10;-99997;-99997;-99997;2,0;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;639;5
1075NG;30;10;20;-99997;5;10;5;-99997;30;-99997;60;15;5;-99997;-99997;-99997;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;401;-99997
1075NH;40;20;20;-99997;-99997;10;15;10;50;20;40;25;15;-99997;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;402;10
1075NJ;45;20;25;5;10;10;15;5;40;30;30;20;10;-99997;5;-99997;1,8;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;430;10
1075NK;40;20;20;5;-99997;20;5;10;50;20;30;25;15;5;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;20;80;15;-99997;404;-99997
1075NL;55;30;25;10;5;10;15;15;40;20;40;20;5;5;-99997;5;2,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;20;80;15;-99997;811;-99997
1075NM;50;25;25;5;10;5;20;10;50;20;30;25;10;-99997;-99997;5;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;-99997;10
1075NN;40;20;20;5;-99997;15;5;10;40;-99997;60;20;10;-99997;-99997;-99997;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;609;5
1075NP;20;10;10;-99997;-99997;-99997;10;-99997;30;20;50;15;10;-99997;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;504;-99997
1075NR;25;10;10;5;-99997;10;-99997;-99997;50;-99997;30;10;5;-99997;-99997;-99997;1,9;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;533;-99997
1075NS;35;20;15;10;-99997;20;-99997;-99997;60;-99997;30;15;10;-99997;-99997;-99997;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;529;-99997
1075NT;30;10;15;-99997;5;10;15;-99997;70;-99997;30;15;5;5;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;458;-99997
1075NV;35;15;20;-99997;-99997;15;10;-99997;60;-99997;30;25;15;5;-99997;-99997;1,5;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;424;5
1075NX;30;15;20;5;-99997;20;-99997;-99997;40;50;-99997;15;5;5;-99997;-99997;2,0;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;593;-99997
1075NZ;35;15;20;5;5;10;15;-99997;30;20;50;25;15;-99997;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;467;10
1075PA;35;20;15;-99997;-99997;10;15;10;80;20;-99997;20;10;5;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;-99997;-99997;718;-99997
1075PB;30;15;15;-99997;-99997;10;10;5;50;20;30;15;-99997;-99997;-99997;-99997;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;634;-99997
1075PC;25;15;10;-99997;-99997;10;5;5;70;-99997;20;15;10;5;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;566;-99997
1075PD;40;20;20;-99997;-99997;25;5;-99997;40;30;20;25;10;10;-99997;-99997;1,7;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;641;-99997
1075PE;45;20;25;-99997;-99997;15;10;15;60;20;20;30;15;10;-99997;-99997;1,7;30;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;-99997;-99997;-99997;-99997;648;5
1075PG;20;10;15;-99997;-99997;10;5;5;60;-99997;30;15;10;-99997;-99997;-99997;1,5;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;408;5
1075PH;30;15;10;-99997;-99997;10;-99997;15;60;20;20;20;10;5;-99997;-99997;1,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;453;-99997
1075PJ;40;20;20;5;-99997;15;10;5;40;50;10;20;10;-99997;-99997;5;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;919;-99997
1075PK;35;20;15;10;-99997;10;10;10;60;40;-99997;15;-99997;5;-99997;5;2,6;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;80;-99997;-99997;-99997;974;-99997
1075PL;45;20;20;5;5;15;5;5;70;20;-99997;25;15;5;-99997;5;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;940;-99997
1075PM;50;25;25;10;5;20;10;-99997;50;40;10;25;10;5;-99997;5;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;60;30;-99997;-99997;702;-99997
1075PN;35;10;20;10;-99997;10;5;10;40;30;40;15;5;-99997;-99997;-99997;2,1;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;629;-99997
1075PP;45;25;25;5;-99997;25;10;5;60;30;-99997;25;10;5;-99997;5;2,0;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;40;60;-99997;-99997;687;-99997
1075PR;20;10;5;-99997;-99997;5;10;-99997;60;-99997;30;15;10;-99997;-99997;-99997;1,3;15;10;-99997;-99997;-99997;-99997;5;-99997;-99997;15;-99997;-99997;-99997;5;356;5
1075PS;50;25;25;15;5;10;15;5;60;30;10;20;5;-99997;-99997;5;2,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;70;30;-99997;-99997;1008;-99997
1075PT;50;25;25;10;-99997;15;10;10;70;20;-99997;20;5;5;-99997;5;2,3;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;80;20;-99997;-99997;1100;-99997
1075PV;35;15;20;5;-99997;10;5;5;60;30;-99997;15;5;5;-99997;-99997;2,0;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;-99997;-99997;752;-99997
1075PW;35;15;20;5;10;10;5;5;60;30;-99997;20;10;5;-99997;-99997;1,8;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;-99997;-99997;1042;-99997
