,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
245,Louis Chrispijnbuurt,6.0,0.0,116618.35475582686,485394.6429389567,4.823819675710322,52.355109732014434,900.0,1044.0,1966.0,587.0,4211.0,1181,1655,1531,0,0,1,1,0,0,2
246,Lucas/Andreasziekenhuis e.o.,0.0,0.0,117564.84374137931,487275.32169310347,4.837502725689656,52.37207717424138,0.0,0.0,1536.0,0.0,55.0,5,0,282,0,0,0,0,0,0,0
247,Marathonbuurt Oost,0.0,1.0,119318.58077362637,484619.8161879121,4.863535445813187,52.34832814864835,804.0,933.0,1714.0,30.0,544.0,0,902,866,0,0,0,0,0,0,0
248,Marathonbuurt West,5.0,0.0,119149.90309172546,484450.134690186,4.861078080429762,52.34679218595895,786.0,912.0,1561.0,18.0,161.0,1,1557,1516,2,0,0,1,1,1,3
249,Marcanti,0.0,0.0,119605.92484531249,487548.55232031253,4.867444182265625,52.37466811548437,699.0,813.0,1867.0,35.0,190.0,0,640,631,0,0,0,0,0,0,0
250,Marine-Etablissement,0.0,1.0,122777.68227272727,487492.74581818184,4.914024932727273,52.37436183545455,75.0,88.0,124.0,0.0,54360.0,1,1,0,0,0,0,0,0,0,0
251,Marjoleinterrein,0.0,0.0,122701.06674324324,490505.047081081,4.912610280472973,52.4014297547973,551.0,638.0,2487.0,0.0,1586.0,0,134,134,0,0,0,0,0,0,0
252,Markengouw Midden,10.0,0.0,125743.30161166335,489826.6696282306,4.957370075606361,52.39550359223327,557.0,647.0,2407.0,0.0,980.0,612,977,1370,4,0,1,1,1,1,4
253,Markengouw Zuid,10.0,0.0,126038.13809336099,489351.08749896265,4.961742732219918,52.391245036815356,693.0,805.0,2236.0,0.0,698.0,768,817,813,5,0,1,0,1,1,3
254,Markthallen,14.0,1.0,119579.05338235294,487961.7228431372,4.867006023627451,52.37837964627452,35.0,41.0,89.0,3720.0,65606.0,21,102,0,13,0,1,0,1,1,3
255,Marnixbuurt Midden,8.0,0.0,120178.80325174824,487345.6518601399,4.875877571608392,52.37288122391609,911.0,1054.0,2213.0,794.0,2739.0,0,143,119,8,0,0,0,1,1,2
256,Marnixbuurt Noord,11.0,0.0,120502.96325482625,488235.2647084942,4.880546176766409,52.38089687024131,716.0,830.0,1799.0,0.0,338.0,4,1036,962,6,0,0,0,1,1,2
257,Marnixbuurt Zuid,1.0,1.0,120388.37296637168,486654.60892035405,4.8790259915221235,52.366683876761066,794.0,923.0,1744.0,72.0,2492.0,0,565,518,0,0,0,0,0,0,0
258,Medisch Centrum Slotervaart,1.0,0.0,116665.30829042905,484386.52019471943,4.824623724818482,52.34605277475247,1128.0,1308.0,1842.0,0.0,0.0,183,298,287,0,1,1,0,0,0,2
259,Meer en Oever,0.0,0.0,115455.5198407026,486387.16287401575,4.8066351173288915,52.363947252089645,591.0,686.0,2732.0,0.0,2491.0,576,1231,1541,0,0,1,1,0,0,2
260,Mercatorpark,0.0,2.0,118039.82347058824,487170.9797058824,4.844488548823529,52.37117159882354,98.0,113.0,208.0,3092.0,26079.0,4,2,0,0,0,0,0,0,0,0
261,Middelveldsche Akerpolder,0.0,0.0,113708.5167778481,485196.15755,4.781134156246836,52.35311488920253,963.0,1118.0,2585.0,0.0,149.0,3,1580,1572,0,0,0,1,0,0,1
262,Middeneiland Zuidwest,0.0,0.0,129795.968,485246.576,5.01725339,52.35454154,0.0,0.0,0.0,0.0,56390.0,0,0,0,0,0,0,0,0,0,0
263,Middenmeer Noord,4.0,0.0,124323.3963477564,485340.70595112175,4.936919232163461,52.35510922590545,1204.0,1398.0,2483.0,16.0,417.0,1,1248,1189,0,1,0,1,0,0,2
264,Middenmeer Zuid,7.0,2.0,124613.94158083093,484923.2240131633,4.941221591674209,52.35137328701769,1032.0,1198.0,2452.0,293.0,3893.0,851,2431,2313,0,1,1,1,0,0,3
265,Minervabuurt Midden,2.0,1.0,119938.4249753611,484549.7408147834,4.872639383542905,52.34773823372132,1614.0,1874.0,3200.0,50.0,1414.0,57,1177,973,0,1,1,0,0,0,2
266,Minervabuurt Noord,1.0,0.0,119934.3430484115,484759.8891770045,4.872557590559758,52.3496266171407,1635.0,1899.0,3359.0,124.0,2627.0,8,643,396,0,1,0,0,0,0,1
267,Minervabuurt Zuid,2.0,0.0,119869.17286074981,484320.32893802604,4.8716470289288445,52.345672016725324,1501.0,1743.0,3025.0,0.0,290.0,224,1299,1118,0,1,1,1,0,0,3
268,Molenwijk,5.0,1.0,121152.43177275838,492423.9409958932,4.889662085167694,52.41858190553046,1036.0,1203.0,2007.0,71.0,1366.0,1446,1444,1416,4,1,1,1,1,1,5
269,Museumplein,0.0,0.0,120629.41203333334,485779.407,4.882654363666666,52.358833298,1191.0,1380.0,1860.0,2394.0,247181.0,0,24,0,0,1,0,0,0,0,1
270,NDSM terrein,254.0,1.0,121212.49408491544,490809.2718156714,4.890707593700379,52.40407422546427,0.0,0.0,1145.0,4562.0,31769.0,0,2436,2455,252,0,0,1,1,1,3
271,Nelson Mandelapark,0.0,0.0,126136.181375,480536.7815,4.9639390625,52.312032495,0.0,0.0,0.0,0.0,51610.0,0,0,0,0,0,0,0,0,0,0
272,Nes e.o.,12.0,0.0,121415.08560356346,487117.4927639198,4.894053728908687,52.37090769233853,882.0,1021.0,1745.0,4927.0,30261.0,4,425,240,3,0,0,0,1,1,2
