openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat;verkorteopenbareruimte
Simon Carmiggelthof;200;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000587462;woonfunctie;114;Verblijfsobject in gebruik;0518010000587463;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;208;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000819706;woonfunctie;114;Verblijfsobject in gebruik;0518010000819707;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;216;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000718259;woonfunctie;114;Verblijfsobject in gebruik;0518010000718260;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Lutherse Burgwal;36;;;2512CB;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200001651264;woonfunctie;82;Verblijfsobject in gebruik;0518010001651263;VBO;f;0518100000284272;Pand in gebruik;1938;81192.49;454592.426;4.31059862692758;52.0746874159815;
Noordweg;77;;;2548AB;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000481119;woonfunctie;152;Verblijfsobject in gebruik;0518010000481120;VBO;f;0518100000341952;Pand in gebruik;1906;79003.653;450057.41;4.27968526963963;52.0336365126402;
Managuahof;53;;;2548GV;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000651264;woonfunctie;93;Verblijfsobject in gebruik;0518010000651265;VBO;f;0518100000220380;Pand in gebruik;2004;79469.025;450013.11;4.28647586061416;52.0333019863833;
Laan van de Mensenrechten;107;;;2552NR;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000581093;woonfunctie;106;Verblijfsobject in gebruik;0518010000581094;VBO;f;0518100000304279;Pand in gebruik;1980;77673.683;452954.579;4.25965126420568;52.0594885499598;Ln van de Mensenrechten
Gerardus de Haenstraat;30;;;2612JJ;Delft;Delft;Zuid-Holland;0503200000024292;woonfunctie;67;Verblijfsobject in gebruik;0503010000037174;VBO;f;0503100000017678;Pand in gebruik;1953;85210.731;447924.873;4.37056365126409;52.0152874603397;
Sint Olofslaan;3;;;2613EH;Delft;Delft;Zuid-Holland;0503200000017894;woonfunctie;237;Verblijfsobject in gebruik;0503010000035382;VBO;f;0503100000029063;Pand in gebruik;1891;83945.7;447519.1;4.35222266512648;52.0114802262438;
Delfgauwseweg;27;;;2628EG;Delft;Delft;Zuid-Holland;0503200000028070;woonfunctie;78;Verblijfsobject in gebruik;0503010000039086;VBO;f;0503100000021012;Pand in gebruik;1910;85285.571;447355.458;4.37176965126457;52.0101795450575;
Zwanebloem;29;;;2631SG;Nootdorp;Pijnacker-Nootdorp;Zuid-Holland;1926200000535851;woonfunctie;106;Verblijfsobject in gebruik;1926010000535852;VBO;f;1926100000479230;Pand in gebruik;1992;87318.927;450740.732;4.40071279900215;52.0408548651264;
Marktstraat;66;;;2741NK;Waddinxveen;Waddinxveen;Zuid-Holland;0627200000247021;woonfunctie;109;Verblijfsobject in gebruik;0627010000029791;VBO;f;0627100000018443;Pand in gebruik;2014;104509.451;450654.127;4.65126417283381;52.0419086895813;
Promenade;120;;;2741NL;Waddinxveen;Waddinxveen;Zuid-Holland;0627200000246897;woonfunctie;73;Verblijfsobject in gebruik;0627010000029665;VBO;f;0627100000018443;Pand in gebruik;2014;104508.11;450522.762;4.65126402973003;52.0407279256679;
Willem-Alexanderplantsoen;6;;;2751BP;Moerkapelle;Zuidplas;Zuid-Holland;1892200000681253;woonfunctie;155;Verblijfsobject in gebruik;1892010000681254;VBO;f;1892100000653363;Pand in gebruik;1974;99764;451110;4.58202812651264;52.0455532873464;Willem-Alexanderplnts
Voorofscheweg;233;;;2771MK;Boskoop;Alphen aan den Rijn;Zuid-Holland;0499200002035367;woonfunctie;103;Verblijfsobject in gebruik;0499010002028483;VBO;f;0499100002019611;Pand in gebruik;1982;104546;454261;4.65126409632367;52.0743286735193;
Koningin Julianastraat;65;;;2841VN;Moordrecht;Zuidplas;Zuid-Holland;1892200000690295;woonfunctie;64;Verblijfsobject in gebruik;1892010000690296;VBO;f;1892100000654351;Pand in gebruik;1959;105493.1;444346.4;4.6665126434484;51.9853063740641;
Groen van Prinstererstraat;83;;;2953BD;Alblasserdam;Alblasserdam;Zuid-Holland;0482200001270261;woonfunctie;121;Verblijfsobject in gebruik;0482010001261372;VBO;f;0482100001246821;Pand in gebruik;1967;104317;431646.5;4.65126491312804;51.8710581909361;Groen van Prinstererstr
Vrijenburglaan;1;;;2994CD;Barendrecht;Barendrecht;Zuid-Holland;0489200000249113;woonfunctie;150;Verblijfsobject in gebruik;0489010000249114;VBO;f;0489100000195263;Pand in gebruik;2005;94385.046;430656.118;4.50723788032922;51.8611651264806;
Heer Daniëlstraat;66;;;3073DD;Rotterdam;Rotterdam;Zuid-Holland;0599200000297167;woonfunctie;104;Verblijfsobject in gebruik;0599010000309159;VBO;f;0599100000309159;Pand in gebruik;1924;94171.8;433876.16;4.50357438651264;51.890081812844;
Buitenplaats Herkingen;19;c;;3249BX;Herkingen;Goeree-Overflakkee;Zuid-Holland;0504200001651264;logiesfunctie;60;Verblijfsobject in gebruik;0504010001647038;VBO;f;0504100001643711;Pand in gebruik;1979;64862.694;414400.405;4.08297273527083;51.7110900357806;
Zoutmanstraat;91;;;3317XM;Dordrecht;Dordrecht;Zuid-Holland;0505200000069609;woonfunctie;72;Verblijfsobject in gebruik;0505010000069609;VBO;f;0505100000032562;Pand in gebruik;1996;104226.76;422732.639;4.65126432114157;51.790934420183;
Zoutmanstraat;95;;;3317XM;Dordrecht;Dordrecht;Zuid-Holland;0505200000069611;woonfunctie;74;Verblijfsobject in gebruik;0505010000069611;VBO;f;0505100000032562;Pand in gebruik;1996;104226.194;422675.636;4.65126447555958;51.7904220374723;
Julianaweg;176;;;3525VK;Utrecht;Utrecht;Utrecht;0344200000141306;woonfunctie;109;Verblijfsobject in gebruik;0344010000148464;VBO;f;0344100000003017;Pand in gebruik;1936;136577.056;453015.584;5.11853792561914;52.0651264121265;
Sumatrastraat;33;;BS;3531PB;Utrecht;Utrecht;Utrecht;0344200000080104;woonfunctie;94;Verblijfsobject in gebruik;0344010000077917;VBO;f;0344100000058921;Pand in gebruik;1918;135499.744;455982.567;5.10265796227307;52.0917566512648;
Tweede Oosterparklaan;316;;;3544AZ;Utrecht;Utrecht;Utrecht;0344200000149198;woonfunctie;125;Verblijfsobject in gebruik;0344010000085565;VBO;f;0344100000028245;Pand in gebruik;2001;132926.447;455717.675;5.06512640792124;52.0892792298587;
Warande;148;;;3705ZL;Zeist;Zeist;Utrecht;0355200000786665;woonfunctie;231;Verblijfsobject in gebruik;0355010000786666;VBO;f;0355100000744260;Pand in gebruik;1979;143656;456618;5.22165126450549;52.0976950249489;
Abt Ludolfweg;160;;;3732AT;De Bilt;De Bilt;Utrecht;0310200000721382;woonfunctie;62;Verblijfsobject in gebruik;0310010000721383;VBO;f;0310100000659680;Pand in gebruik;1964;141092.618;458352.884;5.18417122424002;52.1132296512642;
Hazepad;149;;;3766JP;Soest;Soest;Utrecht;0342200000006486;woonfunctie;93;Verblijfsobject in gebruik;0342010000006409;VBO;f;0342100000003503;Pand in gebruik;1987;147511.158;464113.133;5.2777477970996;52.1651264285946;
Tuinstraat;119;A;;3901RA;Veenendaal;Veenendaal;Utrecht;0345200002063495;woonfunctie;297;Verblijfsobject in gebruik;0345010002063496;VBO;f;0345100001998304;Pand in gebruik;1975;166664.08;448785.61;5.5571586512647;52.0272901370429;
Kamgras;2;;;3902BC;Veenendaal;Veenendaal;Utrecht;0345200002032465;woonfunctie;128;Verblijfsobject in gebruik;0345010002032466;VBO;f;0345100002020923;Pand in gebruik;1975;167209.36;449418.1;5.56512641237107;52.0329632537706;
Heinelaan;15;;;3931WZ;Woudenberg;Woudenberg;Utrecht;0351200000003636;woonfunctie;165;Verblijfsobject in gebruik;0351010000003636;VBO;f;0351100000005988;Pand in gebruik;2006;157997;454511;5.43092239795458;52.0788651264131;
