,buurtnaam,before_1940,1940-1959,1960-1979,1980-1999,after_2000
395,Swammerdambuurt,936,34,14,108,127
396,Teleport,2,0,1,379,2394
397,Terrasdorp,2,869,2,1131,169
398,Transvaalbuurt Oost,2287,0,0,304,162
399,Transvaalbuurt West,1571,70,0,508,60
400,Trompbuurt,1678,0,0,54,0
401,Tuindorp Amstelstation,0,490,3,0,0
402,Tuindorp Frankendael,163,991,38,36,423
403,Tuindorp Nieuwendam Oost,1220,73,0,24,1
404,Tuindorp Nieuwendam West,2,444,4,99,0
405,Tuindorp Oostzaan Oost,2001,24,5,13,2
406,Tuindorp Oostzaan West,0,397,192,78,0
407,Twiske Oost,0,0,0,444,0
408,Twiske West,126,150,11,639,65
409,Uilenburg,481,4,70,96,250
410,Utrechtsebuurt Zuid,655,27,33,220,26
411,VU-kwartier,8,0,29,35,305
412,Valeriusbuurt Oost,761,0,0,5,35
413,Valeriusbuurt West,1343,0,0,0,0
414,Valkenburg,157,17,267,512,5
415,Van Brakelkwartier,447,0,0,0,45
416,Van Loonbuurt,972,33,33,56,39
417,Van Tuyllbuurt,2427,1,0,0,0
418,Van der Helstpleinbuurt,2120,0,7,234,312
419,Van der Kunbuurt,1,272,5,5,0
420,Van der Pekbuurt,2080,161,6,307,107
421,Veluwebuurt,0,335,465,97,146
422,Venserpolder Oost,12,0,0,1671,70
423,Venserpolder West,7,0,0,2555,285
424,Vervoerscentrum,0,0,6,66,25
425,Vivaldi,0,0,29,0,1187
426,Vliegenbos,4,2,23,3,81
427,Vogelbuurt Noord,685,0,1,4,2
428,Vogelbuurt Zuid,1693,40,1,234,136
429,Vogeltjeswei,0,0,0,253,0
430,Vondelpark Oost,2,2,0,0,2
431,Vondelpark West,0,0,0,0,1
432,Vondelparkbuurt Midden,355,0,0,151,0
433,Vondelparkbuurt Oost,544,32,6,83,3
434,Vondelparkbuurt West,941,0,62,307,27
435,WG-terrein,1503,0,49,610,177
436,Walvisbuurt,31,12,1,483,30
437,Waterloopleinbuurt,318,40,75,237,28
438,Weesperbuurt,1311,102,80,488,38
439,Weespertrekvaart,2,0,39,94,1514
440,Weesperzijde Midden/Zuid,1189,12,197,360,198
441,Werengouw Midden,0,0,2036,50,488
442,Werengouw Zuid,0,0,640,89,0
443,Westelijke eilanden,675,64,126,845,263
444,Westerdokseiland,1,0,6,12,1128
445,Westergasfabriek,64,0,0,1,10
446,Westerstaatsman,1805,0,0,0,54
447,Westhaven Noord,7,2,14,106,82
448,Westhaven Zuid,1,0,44,0,57
449,Westlandgrachtbuurt,2064,3,0,48,30
450,Weteringbuurt,1448,38,74,152,132
451,Wielingenbuurt,1401,6,1,107,2
452,Wildeman,1,1197,1371,66,278
453,Willemsparkbuurt Noord,898,12,16,5,0
454,Willibrordusbuurt,1246,54,44,447,195
455,Wittenburg,133,0,39,1127,80
456,Woon- en Groengebied Sloterdijk,26,0,101,33,841
457,Zaagpoortbuurt,701,0,5,36,1
458,Zamenhofstraat e.o.,7,1,0,30,62
459,Zeeburgerdijk Oost,5,1,0,38,162
460,Zeeburgereiland Noordoost,0,0,0,1,10
461,Zeeburgereiland Noordwest,7,0,0,2,1
462,Zeeburgereiland Zuidoost,0,0,1,2,709
463,Zeeburgereiland Zuidwest,0,0,0,0,124
464,Zeeheldenbuurt,809,0,169,104,91
465,Zorgvlied,4,7,1,4,2
466,Zuidas Noord,0,0,114,589,314
467,Zuidas Zuid,0,0,0,1,2029
468,Zuiderhof,0,0,4,2,40
469,Zuiderkerkbuurt,801,13,63,327,0
470,Zuidoostkwadrant Indische buurt,329,0,30,1248,283
471,Zuidwestkwadrant Indische buurt,292,0,0,1587,163
472,Zuidwestkwadrant Osdorp Noord,1,0,347,84,937
473,Zuidwestkwadrant Osdorp Zuid,0,0,313,342,2000
474,Zunderdorp,29,7,51,59,80
475,Zwarte Gouw,0,0,16,2,16
476,de Plantage,1288,10,2,220,55
