,Wijken en buurten,Bouwjaar voor 2000,Bouwjaar vanaf 2000
519,De Klenckebuurt,88,12
520,Buitenveldert Oost Midden,100,0
521,Buitenveldert Zuidoost,96,4
522,Amstelpark,.,.
524,Hoofdcentrum Zuidoost,.,.
525,Amstel III deel A/B Noord,.,.
526,Amstel III deel C/D Noord,.,.
527,Amstel III deel A/B Zuid,9,91
528,Amstel III deel C/D Zuid,.,.
529,AMC,.,.
530,Hoge Dijk,.,.
532,Venserpolder West,90,10
533,Venserpolder Oost,97,3
534,D-buurt,24,76
535,F-buurt,23,77
536,Amsterdamse Poort,65,35
537,Hoptille,100,0
538,Rechte H-buurt,100,0
539,Hakfort/Huigenbos,100,0
540,Huntum,100,0
541,Vogeltjeswei,100,0
542,Nelson Mandelapark,.,.
544,E-buurt,13,87
545,G-buurt West,71,29
546,Bijlmermuseum Noord,63,37
547,Kortvoort,100,0
548,Kelbergen,100,0
549,K-buurt Midden,52,48
550,K-buurt Zuidoost,0,100
551,K-buurt Zuidwest,0,100
552,Grunder/Koningshoef,0,100
553,G-buurt Oost,100,0
554,Kantershof,92,8
555,Gooise Kant,0,100
556,G-buurt Noord,100,0
557,Bijlmermuseum Zuid,100,0
559,L-buurt,100,0
560,Gaasperpark,.,.
561,Gaasperplas,100,0
563,Holendrecht West,100,0
564,Reigersbos Noord,100,0
565,Holendrecht Oost,100,0
566,Gaasperdam Noord,98,2
567,Gaasperdam Zuid,100,0
568,Reigersbos Midden,100,0
569,Reigersbos Zuid,100,0
571,Gein Noordwest,100,0
572,Gein Zuidwest,100,0
573,Gein Noordoost,100,0
574,Gein Zuidoost,100,0
576,Dorp Driemond,94,6
577,Landelijk gebied Driemond,32,68
