,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
308982,310068,verblijfsobject,20,,2,363200000200216.0,363010000739285.0,52.35066362,4.90242585,121970.0,484861.0,63,woonfunctie,14657
308983,310069,verblijfsobject,20,,4,363200000200217.0,363010000739286.0,52.35066362,4.90242585,121970.0,484861.0,42,woonfunctie,14657
308984,310070,verblijfsobject,20,,H,363200000200214.0,363010000739283.0,52.35066362,4.90242585,121970.0,484861.0,54,woonfunctie,14657
308985,310071,verblijfsobject,22,,1,363200000200223.0,363010000739288.0,52.35060976,4.90244112,121971.0,484855.0,49,woonfunctie,14658
308986,310072,verblijfsobject,22,,2,363200000200224.0,363010000739289.0,52.35060976,4.90244112,121971.0,484855.0,59,woonfunctie,14658
308987,310073,verblijfsobject,22,,4,363200000200225.0,363010000739290.0,52.35060976,4.90244112,121971.0,484855.0,48,woonfunctie,14658
308988,310074,verblijfsobject,22,,H,363200000200222.0,363010000739287.0,52.35060976,4.90244112,121971.0,484855.0,49,woonfunctie,14658
308989,310075,verblijfsobject,24,,1,363200000200231.0,363010000739292.0,52.35055589,4.90245638,121972.0,484849.0,55,woonfunctie,14658
308990,310076,verblijfsobject,24,,2,363200000200232.0,363010000739309.0,52.35055589,4.90245638,121972.0,484849.0,51,woonfunctie,14658
308991,310077,verblijfsobject,24,,4,363200000200233.0,363010000739310.0,52.35055589,4.90245638,121972.0,484849.0,43,woonfunctie,14658
308992,310078,verblijfsobject,24,,H,363200000200230.0,363010000739291.0,52.35055589,4.90245638,121972.0,484849.0,50,woonfunctie,14658
308993,310079,verblijfsobject,26,,1,363200000200239.0,363010000739312.0,52.35050203,4.90247165,121973.0,484843.0,55,woonfunctie,14658
308994,310080,verblijfsobject,26,,2,363200000200240.0,363010000739313.0,52.35050203,4.90247165,121973.0,484843.0,51,woonfunctie,14658
308995,310081,verblijfsobject,26,,4,363200000200241.0,363010000739314.0,52.35050203,4.90247165,121973.0,484843.0,43,woonfunctie,14658
308996,310082,verblijfsobject,26,,H,363200000200238.0,363010000739311.0,52.35050203,4.90247165,121973.0,484843.0,50,woonfunctie,14658
308997,310083,verblijfsobject,28,,1,363200000200247.0,363010000739316.0,52.35044823,4.90250159,121975.0,484837.0,49,woonfunctie,14658
308998,310084,verblijfsobject,28,,2,363200000200248.0,363010000739317.0,52.35044823,4.90250159,121975.0,484837.0,59,woonfunctie,14658
