,BuurtCode,InwonersTotaal,Leeftijd 0-15,% Leeftijd 0-15,Leeftijd 65+,% Leeftijd 65+,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid
366,BU03636400,140,35,25.0,35,25.0,     2.6,    6379
367,BU03636401,115,15,13.043478260869565,35,30.434782608695656,     2.3,    4589
368,BU03636402,1035,220,21.256038647342994,165,15.942028985507244,     2.5,   10362
369,BU03636403,360,95,26.38888888888889,50,13.88888888888889,     2.8,    5256
370,BU03636404,5,0,0.0,5,100.0,     3.0,       .
372,BU03636500,1135,160,14.096916299559473,375,33.03964757709251,     2.0,    6592
373,BU03636501,4185,690,16.48745519713262,805,19.23536439665472,     2.0,    8278
374,BU03636502,4070,570,14.004914004914005,755,18.55036855036855,     1.8,    6248
375,BU03636503,2615,805,30.78393881453155,80,3.0592734225621414,     3.0,   10071
377,BU03636601,400,70,17.5,65,16.25,     2.2,     898
378,BU03636602,1375,230,16.727272727272727,165,12.0,     2.4,    2818
379,BU03636603,2465,400,16.227180527383368,355,14.401622718052739,     2.5,    6767
380,BU03636604,135,15,11.11111111111111,40,29.629629629629626,     2.1,     176
381,BU03636605,3125,645,20.64,570,18.240000000000002,     2.1,   10312
382,BU03636606,1345,180,13.382899628252787,165,12.267657992565056,     1.9,    8484
384,BU03636700,2420,590,24.380165289256198,325,13.429752066115702,     2.6,    2075
385,BU03636701,1085,170,15.668202764976957,235,21.658986175115206,     2.4,    5927
387,BU03636800,585,50,8.547008547008547,155,26.495726495726498,     1.6,    5187
388,BU03636801,445,35,7.865168539325842,150,33.70786516853933,     1.7,    3102
389,BU03636802,4960,835,16.834677419354836,675,13.608870967741934,     1.9,   13689
390,BU03636803,3675,915,24.897959183673468,245,6.666666666666667,     2.6,    9079
391,BU03636804,2295,640,27.886710239651418,155,6.753812636165578,     2.5,   10692
392,BU03636805,1590,385,24.21383647798742,210,13.20754716981132,     2.5,    8583
394,BU03636900,230,25,10.869565217391305,85,36.95652173913043,     2.2,    1538
395,BU03636902,1655,160,9.667673716012084,405,24.47129909365559,     1.6,   10379
396,BU03636909,985,75,7.614213197969544,375,38.07106598984771,     1.5,    4352
397,BU03636910,3095,550,17.77059773828756,420,13.5702746365105,     2.0,   11060
398,BU03636911,2715,520,19.152854511970535,500,18.41620626151013,     2.2,   12013
399,BU03636912,2495,210,8.41683366733467,635,25.450901803607213,     1.5,    5353
401,BU03637000,3755,755,20.10652463382157,655,17.44340878828229,     2.3,   11164
402,BU03637001,4160,775,18.629807692307693,660,15.865384615384615,     2.0,    8295
403,BU03637002,2610,470,18.007662835249043,365,13.984674329501914,     2.1,    8557
404,BU03637003,3615,700,19.363762102351316,565,15.629322268326417,     2.3,    8977
405,BU03637004,325,55,16.923076923076923,70,21.53846153846154,     2.3,    4215
406,BU03637005,340,75,22.058823529411764,25,7.352941176470589,     2.3,   10481
408,BU03637102,1295,315,24.324324324324326,65,5.019305019305019,     2.3,    2279
409,BU03637104,0,0,,0,,       .,       .
410,BU03637105,2170,55,2.5345622119815667,15,0.6912442396313364,     1.3,    5823
411,BU03637106,710,150,21.12676056338028,40,5.633802816901409,     1.9,    2023
412,BU03637107,1630,175,10.736196319018406,220,13.496932515337424,     1.7,    5568
414,BU03637200,215,15,6.976744186046512,15,6.976744186046512,     1.3,     683
415,BU03637201,5,0,0.0,0,0.0,     1.1,       .
416,BU03637202,20,5,25.0,5,25.0,     2.7,     250
418,BU03637300,65,10,15.384615384615385,15,23.076923076923077,     2.0,     452
